bairro;Homens/2022;Mulheres/2022;Razao de sexos/2022
Saúde;799;844;94,67
Gamboa;5399;6017;89,73
Santo Cristo;4650;5286;87,97
Caju;11474;12589;91,14
Centro;10884;12677;85,86
Catumbi;5572;6629;84,05
Rio Comprido;18103;21745;83,25
Cidade Nova;2227;2518;88,44
Estácio;10461;12788;81,8
Imperial de São Cristóvão;12064;13844;87,14
Mangueira;8324;10046;82,86
Benfica;9913;11047;89,73
Paquetá;1629;1857;87,72
Santa Teresa;16945;19251;88,02
Flamengo;18341;24757;74,08
Glória;3034;4086;74,25
Laranjeiras;17550;22142;79,26
Catete;9910;12385;80,02
Cosme Velho;3035;3373;89,98
Botafogo;34367;42625;80,63
Humaitá;5630;7414;75,94
Urca;2376;2839;83,69
Leme;5546;6933;79,99
Copacabana;56054;72823;76,97
Ipanema;16930;20462;82,74
Leblon;16704;21005;79,52
Lagoa;8639;10037;86,07
Jardim Botânico;7105;8766;81,05
Gávea;6278;7898;79,49
Vidigal;7307;7805;93,62
São Conrado;4556;5183;87,9
Praça da Bandeira;3159;4056;77,88
Tijuca;62108;79981;77,65
Alto da Boa Vista;4748;5064;93,76
Maracanã;10448;13050;80,06
Vila Isabel;28923;36867;78,45
Andaraí;15365;19211;79,98
Grajaú;14486;18330;79,03
Manguinhos;13617;15238;89,36
Bonsucesso;7691;9181;83,77
Ramos;15601;18852;82,76
Olaria;22952;28270;81,19
Penha;26586;31930;83,26
Penha Circular;16725;20000;83,63
Brás de Pina;17310;20456;84,62
Cordovil;14857;17597;84,43
Parada de Lucas;9203;10467;87,92
Vigário Geral;15912;18290;87
Jardim América;9466;11221;84,36
Higienópolis;6479;7748;83,62
Jacaré;3796;4402;86,23
Maria da Graça;3314;3895;85,08
Del Castilho;9613;10984;87,52
Inhaúma;17150;20083;85,4
Engenho da Rainha;10920;13268;82,3
Tomás Coelho;9362;10981;85,26
São Francisco Xavier;2942;3398;86,58
Rocha;7317;8583;85,25
Riachuelo;4585;5820;78,78
Sampaio;4110;4722;87,04
Engenho Novo;17555;20937;83,85
Lins de Vasconcelos;14005;17076;82,02
Méier;16910;22790;74,2
Todos os Santos;10014;12579;79,61
Cachambi;17209;21464;80,18
Engenho de Dentro;19479;23696;82,2
Água Santa;2935;3440;85,32
Encantado;5654;6751;83,75
Piedade;17741;20971;84,6
Abolição;4058;5138;78,98
Pilares;10516;13002;80,88
Vila Kosmos;6623;8255;80,23
Vicente de Carvalho;9870;11430;86,35
Vila da Penha;10311;13025;79,16
Vista Alegre;7612;9204;82,7
Irajá;38612;47294;81,64
Colégio;12462;14378;86,67
Campinho;3867;4712;82,07
Quintino Bocaiúva;11152;13588;82,07
Cavalcanti;6683;7116;93,92
Engenheiro Leal;2476;2724;90,9
Cascadura;12361;14534;85,05
Madureira;18199;21513;84,6
Vaz Lobo;5021;5974;84,05
Turiaçú;5290;6323;83,66
Rocha Miranda;16587;19773;83,89
Honório Gurgel;8289;9924;83,52
Osvaldo Cruz;13607;16388;83,03
Bento Ribeiro;16755;20551;81,53
Marechal Hermes;19002;22505;84,43
Ribeira;1572;1900;82,74
Zumbi;832;985;84,47
Cacuia;4800;5592;85,84
Pitangueiras;4682;5560;84,21
Praia da Bandeira;2360;2793;84,5
Cocotá;2277;2744;82,98
Bancários;5114;5948;85,98
Freguesia (Ilha);7460;8440;88,39
Jardim Guanabara;12508;14576;85,81
Jardim Carioca;9505;10869;87,45
Tauá;12175;14307;85,1
Moneró;2533;3190;79,4
Portuguesa;8869;10962;80,91
Galeão;9861;10955;90,01
Cidade Universitária;630;673;93,61
Guadalupe;18714;22322;83,84
Anchieta;24212;27883;86,83
Parque Anchieta;10082;11751;85,8
Ricardo de Albuquerque;12945;14759;87,71
Coelho Neto;12260;14520;84,44
Acari;13962;15711;88,87
Barros Filho;9633;10811;89,1
Costa Barros;12320;13952;88,3
Pavuna;43571;51761;84,18
Jacarepaguá;84200;91650;91,87
Anil;14713;17178;85,65
Gardênia Azul;9797;10693;91,62
Cidade de Deus;14122;16179;87,29
