bairro;0 a 14 anos;0 a 14 anos (%);15 a 59 anos;15 a 59 anos (%);60 anos ou mais;60 anos ou mais (%)
Abolição;1052;0.1;5567;0.14;2577;0.21
Acari;7211;0.7;19448;0.5;3007;0.24
Água Santa;947;0.09;3984;0.1;1444;0.12
Alto da Boa Vista;1392;0.14;6129;0.16;2271;0.18
Anchieta;9559;0.93;33064;0.85;9458;0.76
Andaraí;4402;0.43;20852;0.53;9316;0.74
Anil;5102;0.49;20528;0.53;6255;0.5
Argentino;117;0.01;467;0.01;168;0.01
Bancários;1834;0.18;7110;0.18;2118;0.17
Bangu;36850;3.57;133213;3.41;39256;3.14
Barra da Tijuca;18090;1.75;84027;2.15;40021;3.2
Barra de Guaratiba;713;0.07;3047;0.08;995;0.08
Barra Olímpica;9839;0.95;37716;0.97;9066;0.72
Barros Filho;4559;0.44;13035;0.33;2848;0.23
Benfica;3631;0.35;13485;0.35;3838;0.31
Bento Ribeiro;5402;0.52;22354;0.57;9533;0.76
Bonsucesso;2288;0.22;10416;0.27;4162;0.33
Botafogo;8977;0.87;48055;1.23;19928;1.59
Brás de Pina;5836;0.57;23345;0.6;8585;0.69
Cachambi;4982;0.48;23663;0.61;10018;0.8
Cacuia;1524;0.15;6594;0.17;2272;0.18
Caju;4927;0.48;16105;0.41;3026;0.24
Camorim;235;0.02;864;0.02;173;0.01
Campinho;1225;0.12;5265;0.13;2089;0.17
Campo dos Afonsos;551;0.05;1468;0.04;87;0.01
Campo Grande;61842;6;224064;5.74;66508;5.32
Cascadura;4129;0.4;16681;0.43;6081;0.49
Catete;2684;0.26;14111;0.36;5481;0.44
Catumbi;2184;0.21;7821;0.2;2196;0.18
Cavalcanti;2166;0.21;9017;0.23;2616;0.21
Centro;1871;0.18;15054;0.39;6574;0.53
Cidade de Deus;6343;0.62;19234;0.49;4720;0.38
Cidade Nova;735;0.07;3070;0.08;940;0.08
Cidade Universitária;221;0.02;868;0.02;199;0.02
Cocotá;657;0.06;3091;0.08;1273;0.1
Coelho Neto;4276;0.41;16621;0.43;5858;0.47
Colégio;4916;0.48;17022;0.44;4899;0.39
Complexo do Alemão;11855;1.15;35083;0.9;7262;0.58
Copacabana;11533;1.12;74855;1.92;42203;3.37
Cordovil;5601;0.54;20115;0.52;6725;0.54
Cosme Velho;1094;0.11;3793;0.1;1517;0.12
Cosmos;19140;1.86;62755;1.61;13582;1.09
Costa Barros;6016;0.58;16617;0.43;3635;0.29
Curicica;4867;0.47;18709;0.48;5440;0.43
Del Castilho;3065;0.3;13845;0.35;3685;0.29
