"Local", "Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo"
"Mangaratiba", 34.2
"Valença", 32.6
"Arraial do Cabo", 35.4
"Varre-Sai", 34.9
"Pinheiral", 35.8
"Sumidouro", 37
"Rio Claro", 34.6
"Tanguá", 38.3
"Natividade", 32.8
"Duas Barras", 30.9
"Barra do Piraí", 33.8
"Vassouras", 34.2
"Maricá", 33.8
"Teresópolis", 32.3
"Rio das Flores", 33.4
"Sapucaia", 37.2
"Porciúncula", 38
"Porto Real", 33.6
"Queimados", 39.1
"Quissamã", 37.9
"Quatis", 34.1
"Cachoeiras de Macacu", 35.6
"Casimiro de Abreu", 31.1
"Paraíba do Sul", 32
"Macaé", 31.5
"Macuco", 33.6
"Cambuci", 37.4
"Saquarema", 36.3
"Resende", 32.4
"Seropédica", 37.4
"Comendador Levy Gasparian", 31.3
"Carapebus", 36.3
"Conceição de Macabu", 35.4
"Angra dos Reis", 34.9
"Três Rios", 31.6
"Aperibé", 33.1
"Paraty", 32.1
"Magé", 38.2
"Paty do Alferes", 37.6
"Silva Jardim", 39.6
"Itaocara", 33.4
"São Pedro da Aldeia", 36.1
"Itaboraí", 37.7
"Bom Jesus do Itabapoana", 34.3
"São Fidélis", 35.1
"Cantagalo", 34.2
"Cardoso Moreira", 39.5
"Nova Iguaçu", 38.7
"Itaperuna", 31.3
"Itatiaia", 32.9
"Cabo Frio", 34.5
"São Sebastião do Alto", 38.2
"Piraí", 35.7
"Japeri", 41.4
"São Gonçalo", 34.5
"Carmo", 32.8
"Paracambi", 36.8
"Rio de Janeiro", 31.4
"Laje do Muriaé", 37.5
"Rio das Ostras", 32.5
"Nilópolis", 33.8
"São João da Barra", 38
"Duque de Caxias", 37.8
"Barra Mansa", 34.5
"Mendes", 32.1
"Volta Redonda", 32.7
"Belford Roxo", 39.3
"Mesquita", 36.5
"Trajano de Moraes", 35.5
"Santa Maria Madalena", 33
"Niterói", 29.5
"Itaguaí", 37.1
"Italva", 35.3
"Engenheiro Paulo de Frontin", 34.2
"Bom Jardim", 30.7
"São João de Meriti", 35.4
"São José do Vale do Rio Preto", 37.6
"São José de Ubá", 40.4
"Iguaba Grande", 34.9
"Guapimirim", 37.2
"Miguel Pereira", 33.6
"Santo Antônio de Pádua", 33.8
"Campos dos Goytacazes", 37.7
"São Francisco de Itabapoana", 44.9
"Rio Bonito", 35.4
"Nova Friburgo", 25.8
"Miracema", 34.7
"Areal", 35.9
"Cordeiro", 29.8
"Armação dos Búzios", 31.1
"Araruama", 36.1
"Petrópolis", 30.6
